STATE,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Price Date
Haryana,panipat,Madlauda,Onion,Other,FAQ,800.0,1000.0,900.0,6/6/2023
Rajasthan,chittorgarh,Kapasan,Wheat,Lokwan,FAQ,2050.0,2250.0,2150.0,6/6/2023
Uttar Pradesh,maharajganj,Nautnava,Tomato,Hybrid,FAQ,600.0,750.0,700.0,6/6/2023
Punjab,muktsar,Malout,Onion,Onion,FAQ,800.0,1200.0,1000.0,6/6/2023
Uttar Pradesh,rampur,Milak,Tomato,Tomato,FAQ,665.0,760.0,710.0,6/6/2023
Uttar Pradesh,ballia,Rasda,Wheat,Dara,FAQ,2050.0,2200.0,2138.0,6/6/2023
Uttar Pradesh,ballia,Vilthararoad,Potato,Desi,FAQ,1100.0,1200.0,1150.0,6/6/2023
Gujarat,surat,Surat,Onion,Other,FAQ,400.0,1350.0,875.0,6/6/2023
Uttar Pradesh,amethi,Sultanpur,Wheat,Dara,FAQ,2125.0,2400.0,2310.0,6/6/2023
Kerala,idukki,Vandiperiyar,Potato,Other,FAQ,1540.0,1540.0,1540.0,6/6/2023
Madhya Pradesh,jabalpur,Paatan,Wheat,Deshi,FAQ,2000.0,2300.0,2245.0,6/6/2023
Madhya Pradesh,mandsaur,Garoth,Wheat,Other,FAQ,2170.0,2200.0,2180.0,6/6/2023
Uttar Pradesh,shahjahanpur,Tilhar,Onion,Red,FAQ,950.0,1050.0,1000.0,6/6/2023
Madhya Pradesh,shajapur,Momanbadodiya,Wheat,Other,FAQ,2000.0,2282.0,2151.0,6/6/2023
Uttar Pradesh,balrampur,Balrampur,Potato,Desi,FAQ,950.0,1170.0,1060.0,6/6/2023
Uttar Pradesh,hardoi,Madhoganj,Tomato,Hybrid,FAQ,950.0,1050.0,995.0,6/6/2023
Haryana,faridabad,Ballabhgarh,Potato,Other,FAQ,700.0,1000.0,800.0,6/6/2023
Punjab,moga,Moga,Potato,Other,FAQ,450.0,1000.0,750.0,6/6/2023
Uttar Pradesh,bareilly,Bahedi,Potato,Kufri Megha,FAQ,915.0,940.0,930.0,6/6/2023
Karnataka,shimoga,Shimoga,Onion,Onion,FAQ,800.0,1600.0,1200.0,6/6/2023
Uttar Pradesh,rampur,Milak,Wheat,Dara,FAQ,2070.0,2275.0,2175.0,6/6/2023
Kerala,idukki,Vandiperiyar,Onion,Big,FAQ,1150.0,1150.0,1150.0,6/6/2023
Madhya Pradesh,dhar,Manawar,Onion,Other,FAQ,800.0,1000.0,900.0,6/6/2023
Nagaland,mokokchung,Mokokchung Town,Potato,Other,FAQ,1500.0,2500.0,2000.0,6/6/2023
Uttar Pradesh,bulandshahar,Buland Shahr,Potato,F.A.Q.,FAQ,1050.0,1200.0,1110.0,6/6/2023
Uttar Pradesh,badaun,Wazirganj,Tomato,Deshi,FAQ,670.0,750.0,710.0,6/6/2023
Kerala,idukki,Vandiperiyar,Tomato,Other,FAQ,1260.0,1260.0,1260.0,6/6/2023
West Bengal,jalpaiguri,Moynaguri,Potato,Jyoti,FAQ,1100.0,1300.0,1200.0,6/6/2023
Madhya Pradesh,panna,Panna,Wheat,Other,FAQ,2150.0,2250.0,2185.0,6/6/2023
Punjab,jalandhar,Mehatpur,Tomato,Local,FAQ,1000.0,1000.0,1000.0,6/6/2023
Uttar Pradesh,meerut,Meerut,Tomato,Local,FAQ,575.0,890.0,785.0,6/6/2023
Rajasthan,hanumangarh,Sangriya,Onion,Onion,FAQ,300.0,1800.0,1400.0,6/6/2023
Haryana,panchkula,Panchkul(Kalka),Onion,Other,FAQ,2000.0,3000.0,2500.0,6/6/2023
Madhya Pradesh,seoni,Ghansour,Wheat,Other,FAQ,2240.0,2260.0,2260.0,6/6/2023
Himachal Pradesh,kangra,Kangra(Baijnath),Tomato,Tomato,FAQ,1300.0,1500.0,1400.0,6/6/2023
Orissa,dhenkanal,Kamakhyanagar,Tomato,Tomato,FAQ,2900.0,3200.0,3000.0,6/6/2023
Delhi,delhi,Shahdara,Onion,Nasik,FAQ,800.0,1300.0,1100.0,6/6/2023
Punjab,kapurthala,Phagwara,Potato,Other,FAQ,408.0,900.0,891.0,6/6/2023
Chattisgarh,rajnandgaon,Kheragarh,Wheat,Other,FAQ,1800.0,2000.0,1900.0,6/6/2023
Karnataka,udupi,Udupi,Onion,Onion,FAQ,1300.0,1500.0,1400.0,6/6/2023
Orissa,malkangiri,Malkanagiri,Tomato,Other,FAQ,600.0,600.0,600.0,6/6/2023
Karnataka,bidar,Basava Kalayana,Wheat,Mexican,FAQ,2101.0,2651.0,2300.0,6/6/2023
West Bengal,kolkata,Bara Bazar (Posta Bazar),Onion,Nasik,FAQ,1650.0,1825.0,1750.0,6/6/2023
Madhya Pradesh,betul,Betul,Wheat,Lokwan,FAQ,2140.0,2455.0,2300.0,6/6/2023
Rajasthan,hanumangarh,Hanumangarh Town,Tomato,Deshi,FAQ,800.0,800.0,800.0,6/6/2023
Maharashtra,nashik,Pimpalgaon Baswant(Saykheda),Onion,Other,FAQ,200.0,910.0,750.0,6/6/2023
Madhya Pradesh,hoshangabad,Pipariya,Onion,Onion,FAQ,350.0,1200.0,650.0,6/6/2023
Punjab,hoshiarpur,Garh Shankar,Onion,Other,FAQ,600.0,900.0,800.0,6/6/2023
Haryana,panipat,Madlauda,Tomato,Other,FAQ,800.0,900.0,800.0,6/6/2023
Rajasthan,jodhpur,Jodhpur(F&V)(Paota),Tomato,Other,FAQ,700.0,1000.0,900.0,6/6/2023
Rajasthan,bharatpur,Bayana,Potato,Other,FAQ,800.0,800.0,800.0,6/6/2023
Jammu & Kashmir,udhampur,Udhampur,Onion,Other,FAQ,1200.0,1600.0,1400.0,6/6/2023
Uttar Pradesh,agra,Fatehabad,Tomato,Deshi,FAQ,550.0,650.0,600.0,6/6/2023
Madhya Pradesh,shajapur,Kalapipal,Wheat,MP Sharbati,FAQ,2150.0,2880.0,2450.0,6/6/2023
Uttar Pradesh,kaushambi,Bharwari,Onion,Red,FAQ,1030.0,1190.0,1110.0,6/6/2023
Madhya Pradesh,rewa,Baikunthpur,Wheat,Dara Mill Quality,FAQ,2240.0,2285.0,2270.0,6/6/2023
Rajasthan,bikaner,Bikaner (F&V),Potato,Other,FAQ,800.0,1000.0,900.0,6/6/2023
Uttar Pradesh,agra,Fatehabad,Onion,Red,FAQ,1000.0,1100.0,1050.0,6/6/2023
Uttar Pradesh,shahjahanpur,Puwaha,Potato,Desi,FAQ,820.0,1020.0,920.0,6/6/2023
Haryana,gurgaon,Farukh Nagar,Onion,Other,FAQ,1200.0,1500.0,1200.0,6/6/2023
Kerala,thiruvananthapuram,Pothencode,Potato,Other,FAQ,13500.0,13580.0,13540.0,6/6/2023
Uttar Pradesh,jhansi,Moth,Tomato,Deshi,FAQ,1050.0,1150.0,1100.0,6/6/2023
Andhra Pradesh,nalgonda,Miryalguda(Rythu Bazar),Tomato,Deshi,FAQ,4000.0,4000.0,4000.0,6/6/2023
West Bengal,nadia,Karimpur,Wheat,Other,FAQ,2150.0,2250.0,2200.0,6/6/2023
Haryana,gurgaon,Farukh Nagar,Tomato,Other,FAQ,800.0,1000.0,800.0,6/6/2023
West Bengal,paschim bardhaman,Durgapur,Tomato,Hybrid,FAQ,2200.0,2400.0,2300.0,6/6/2023
Gujarat,gandhinagar,Kalol,Wheat,Other,FAQ,2200.0,2275.0,2250.0,6/6/2023
Orissa,bargarh,Bargarh(Barapalli),Onion,Other,FAQ,1500.0,1700.0,1600.0,6/6/2023
Gujarat,bhavnagar,Bhavnagar,Wheat,Local,FAQ,2170.0,2255.0,2220.0,6/6/2023
Orissa,sambalpur,Kuchinda,Tomato,Other,FAQ,2400.0,3000.0,2700.0,6/6/2023
Kerala,kottayam,Kottayam,Tomato,Other,FAQ,2800.0,3200.0,3000.0,6/6/2023
Himachal Pradesh,kullu,Bhuntar,Potato,Other,FAQ,1000.0,2000.0,1500.0,6/6/2023
Uttar Pradesh,gonda,Gonda,Wheat,Dara,FAQ,2300.0,2350.0,2320.0,6/6/2023
Uttar Pradesh,bijnor,Chaandpur,Potato,Desi,FAQ,900.0,1000.0,950.0,6/6/2023
Madhya Pradesh,gwalior,Lashkar,Wheat,Mill Quality,FAQ,2245.0,0.0,2255.0,6/6/2023
Rajasthan,bikaner,Lunkaransar,Wheat,Other,FAQ,2080.0,2350.0,2160.0,6/6/2023
Uttar Pradesh,mainpuri,Mainpuri,Wheat,Dara,FAQ,2240.0,2250.0,2246.0,6/6/2023
Punjab,gurdaspur,Dinanagar,Tomato,Tomato,FAQ,1500.0,2000.0,2000.0,6/6/2023
Punjab,sangrur,Dhuri,Tomato,Other,FAQ,400.0,500.0,450.0,6/6/2023
Gujarat,ahmedabad,Mandal,Wheat,Other,FAQ,1950.0,2250.0,2125.0,6/6/2023
Maharashtra,mumbai,Vashi New Mumbai,Onion,Other,FAQ,600.0,1400.0,1000.0,6/6/2023
Uttar Pradesh,jhansi,Moth,Potato,Desi,FAQ,980.0,1100.0,1060.0,6/6/2023
Karnataka,mandya,Mandya,Tomato,Tomato,FAQ,1000.0,1000.0,1000.0,6/6/2023
Maharashtra,pune,Manchar,Onion,Other,FAQ,800.0,1300.0,1050.0,6/6/2023
Madhya Pradesh,rewa,Chaakghat,Wheat,147 Average,FAQ,2200.0,2300.0,2225.0,6/6/2023
Rajasthan,ajmer,Madanganj Kishangarh,Onion,1st Sort,FAQ,900.0,1100.0,1000.0,6/6/2023
Uttar Pradesh,gorakhpur,Chorichora,Tomato,Hybrid,FAQ,1100.0,1200.0,1140.0,6/6/2023
Uttar Pradesh,meerut,Meerut,Potato,Desi,FAQ,945.0,1200.0,1125.0,6/6/2023
Haryana,kaithal,Kaithal,Tomato,Deshi,FAQ,400.0,500.0,450.0,6/6/2023
Haryana,bhiwani,Bhiwani,Onion,Other,FAQ,800.0,1200.0,1000.0,6/6/2023
Maharashtra,ahmednagar,Rahuri,Onion,Other,FAQ,100.0,1300.0,700.0,6/6/2023
Kerala,kottayam,Thalayolaparambu,Onion,Big,FAQ,1700.0,2200.0,2000.0,6/6/2023
Haryana,bhiwani,Ch. Dadri,Potato,Other,FAQ,500.0,1500.0,1000.0,6/6/2023
Haryana,mewat,Nuh,Potato,Other,FAQ,700.0,700.0,700.0,6/6/2023
Punjab,jalandhar,Bilga,Potato,Other,FAQ,800.0,1000.0,900.0,6/6/2023
Karnataka,belgaum,Belgaum,Potato,Local,FAQ,1000.0,1850.0,1400.0,6/6/2023
Gujarat,navsari,Bilimora,Potato,Other,FAQ,1400.0,1800.0,1500.0,6/6/2023
Uttar Pradesh,jhansi,Gurusarai,Wheat,Dara,FAQ,2125.0,2250.0,2190.0,6/6/2023
Uttar Pradesh,fatehpur,Bindki,Potato,Potato,FAQ,850.0,930.0,890.0,6/6/2023
West Bengal,birbhum,Birbhum,Potato,Other,FAQ,1400.0,1500.0,1450.0,6/6/2023
Uttar Pradesh,hardoi,Madhoganj,Wheat,Dara,FAQ,2200.0,2300.0,2250.0,6/6/2023
West Bengal,murshidabad,Beldanga,Potato,Jyoti,FAQ,1350.0,1370.0,1360.0,6/6/2023
Madhya Pradesh,guna,Maksudangarh,Wheat,Other,FAQ,2056.0,2351.0,2210.0,6/6/2023
Maharashtra,pune,Khed(Chakan),Tomato,Other,FAQ,1000.0,1500.0,1300.0,6/6/2023
Orissa,dhenkanal,Hindol,Onion,Other,FAQ,1300.0,1500.0,1400.0,6/6/2023
Kerala,malappuram,Manjeri,Tomato,Other,FAQ,2300.0,2400.0,2350.0,6/6/2023
Haryana,palwal,Hassanpur,Onion,Other,FAQ,500.0,700.0,600.0,6/6/2023
Uttar Pradesh,bareilly,Bareilly,Potato,Desi,FAQ,900.0,950.0,925.0,6/6/2023
Madhya Pradesh,dhar,Manawar,Tomato,Deshi,FAQ,840.0,1040.0,940.0,6/6/2023
Uttar Pradesh,fatehpur,Bindki,Wheat,Dara,FAQ,2125.0,2300.0,2220.0,6/6/2023
Punjab,muktsar,Malout,Tomato,Tomato,FAQ,400.0,600.0,500.0,6/6/2023
West Bengal,birbhum,Bolpur,Wheat,Sonalika,FAQ,2800.0,2900.0,2850.0,6/6/2023
Maharashtra,ahmednagar,Sangamner,Onion,Other,FAQ,200.0,1251.0,725.0,6/6/2023
Punjab,barnala,Barnala,Potato,Other,FAQ,800.0,900.0,850.0,6/6/2023
Madhya Pradesh,tikamgarh,Jatara,Wheat,Mill Quality,FAQ,2205.0,2220.0,2210.0,6/6/2023
Madhya Pradesh,morena,Sabalgarh,Wheat,Deshi,FAQ,2226.0,2289.0,2275.0,6/6/2023
Maharashtra,sangli,Sangli,Wheat,Other,FAQ,2800.0,3600.0,3200.0,6/6/2023
Bihar,sheikhpura,Shekhpura,Potato,(Red Nanital),FAQ,800.0,1000.0,900.0,6/6/2023
Karnataka,bangalore,Kanakapura,Tomato,Hybrid,FAQ,2200.0,2800.0,2500.0,6/6/2023
Punjab,gurdaspur,Kalanaur,Tomato,Other,FAQ,5000.0,5000.0,5000.0,6/6/2023
