crop,maturity_stage,hours_since_harvest,temperature_c,humidity_percent,ethylene_ppm,voc_index,co2_ppm,weight_loss_percent,spoilage_risk
Banana,Semi-Ripe,27,27.93,46.3,4.477,2.532,598.4,2.39,Low
Banana,Unripe,195,27.47,42.47,0.779,2.938,495.3,1.8,Medium
Banana,Semi-Ripe,159,27.87,84.47,0.319,3.704,647.5,5.53,Medium
Banana,Semi-Ripe,134,30.49,78.85,2.09,1.874,493.7,5.11,Low
Tomato,Ripe,212,27.89,55.41,0.276,2.713,581.4,11.07,Medium
Banana,Semi-Ripe,154,29.72,67.96,0.589,2.675,621.4,6.2,Medium
Banana,Semi-Ripe,167,27.27,80.23,1.439,2.355,715.6,5.1,Medium
Onion,Semi-Ripe,181,28.16,73.03,0.931,2.42,505.2,5.13,Medium
Mango,Unripe,202,29.53,69.78,0.875,1.56,468.5,4.35,Medium
Onion,Semi-Ripe,55,21.17,81.14,0.438,2.808,667.4,3.39,Low
Onion,Semi-Ripe,203,25.72,59.23,0.992,2.715,676.6,5.43,Medium
Brinjal,Semi-Ripe,141,25.12,68.37,2.019,2.016,446.8,0.66,Low
Brinjal,Unripe,7,24.44,67.79,1.014,3.232,379.4,2.94,Low
Mango,Ripe,221,25.9,64.73,0.559,3.631,658.3,5.33,Medium
Tomato,Semi-Ripe,185,32.98,63.32,0.418,3.245,315.0,7.88,Low
Brinjal,Unripe,214,23.54,68.87,0.567,1.353,308.9,4.83,Low
Brinjal,Semi-Ripe,186,30.87,68.41,1.316,2.61,479.8,3.35,Medium
Onion,Ripe,83,20.27,55.42,1.272,1.497,512.3,3.98,Low
Banana,Unripe,84,25.66,77.62,0.571,2.606,372.8,3.64,Low
Onion,Semi-Ripe,66,27.65,56.28,0.213,1.502,526.6,3.06,Low
Tomato,Unripe,98,29.34,65.38,1.342,3.905,532.0,1.37,Low
Tomato,Unripe,8,29.84,64.46,0.533,3.362,442.4,2.32,Low
Tomato,Semi-Ripe,179,30.17,72.3,1.62,3.768,744.0,3.61,Medium
Mango,Unripe,181,25.61,42.57,0.589,3.657,551.6,4.28,Medium
Tomato,Semi-Ripe,237,25.15,78.69,0.501,2.202,635.4,6.66,Low
Tomato,Semi-Ripe,132,30.43,59.88,1.113,2.032,325.3,2.87,Low
Onion,Unripe,238,26.23,82.64,5.209,4.416,324.2,4.96,Medium
Tomato,Ripe,50,21.9,62.26,1.689,2.318,555.2,4.07,Low
Onion,Semi-Ripe,114,22.47,67.41,1.1,1.01,722.6,3.38,Medium
Brinjal,Unripe,188,23.32,90.97,1.286,3.608,378.8,9.45,Medium
Brinjal,Semi-Ripe,190,28.99,64.67,0.294,2.658,517.2,5.23,Medium
Tomato,Ripe,186,27.57,82.87,0.456,4.157,351.8,2.5,Medium
Tomato,Unripe,112,29.76,68.47,0.172,2.767,413.8,2.33,Low
Tomato,Ripe,17,25.29,72.99,3.357,2.478,523.2,1.01,Low
Mango,Unripe,208,27.63,68.84,2.913,4.179,440.9,3.51,Medium
Onion,Ripe,91,29.5,78.17,1.316,0.808,343.3,4.56,Low
Banana,Semi-Ripe,156,25.76,59.77,1.099,1.856,340.6,2.38,Low
Mango,Unripe,32,28.83,56.19,0.338,1.524,300.0,2.29,Low
Mango,Ripe,225,24.35,60.34,0.858,0.1,557.2,7.26,Medium
Mango,Unripe,61,25.55,69.2,3.507,3.46,571.7,2.3,Low
Banana,Unripe,240,25.47,65.35,1.096,1.887,571.1,6.59,Medium
Onion,Semi-Ripe,172,22.22,76.52,0.674,3.496,390.9,1.53,Medium
Tomato,Ripe,79,28.95,83.66,0.292,2.928,620.7,2.78,Low
Brinjal,Unripe,89,25.12,56.29,2.628,3.168,584.8,1.97,Low
Tomato,Semi-Ripe,236,27.05,59.19,0.952,1.999,500.9,5.87,Medium
Mango,Semi-Ripe,143,28.92,50.77,0.292,1.659,481.2,2.35,Low
Banana,Ripe,166,28.79,92.36,0.524,2.599,422.1,8.22,Medium
Tomato,Ripe,147,29.66,71.66,0.409,3.511,523.1,1.31,Medium
Mango,Ripe,57,26.61,73.76,0.912,2.445,694.1,5.23,Medium
Brinjal,Unripe,31,25.31,51.92,1.156,1.728,636.5,4.45,Low
Brinjal,Unripe,0,26.68,67.99,0.703,1.181,469.3,3.06,Low
Tomato,Ripe,97,20.25,74.11,1.723,2.725,564.6,3.76,Low
Brinjal,Semi-Ripe,164,21.21,64.97,1.057,1.891,367.8,7.81,Low
Banana,Unripe,72,21.71,80.91,2.104,2.421,587.6,7.81,Low
Brinjal,Semi-Ripe,53,23.01,95.0,0.779,2.237,400.3,2.76,Low
Mango,Unripe,93,28.6,56.64,8.429,2.011,582.8,3.9,Low
Onion,Unripe,55,23.38,55.73,0.674,2.823,856.3,2.17,Low
Brinjal,Semi-Ripe,104,25.49,57.47,0.531,3.11,431.6,1.64,Low
Brinjal,Ripe,133,32.2,87.27,0.488,4.662,850.7,4.93,Medium
Tomato,Semi-Ripe,65,25.57,80.51,0.863,3.334,558.9,3.73,Low
Brinjal,Unripe,7,29.95,66.37,0.3,4.253,410.0,0.0,Low
Mango,Unripe,24,23.27,68.44,1.229,1.6,404.5,3.61,Low
Brinjal,Ripe,100,26.18,58.2,0.263,0.739,783.8,4.21,Low
Brinjal,Ripe,42,23.2,78.68,1.12,2.484,559.2,1.92,Low
Onion,Ripe,192,25.64,63.44,0.388,3.444,432.1,3.6,Low
Onion,Ripe,39,30.36,64.88,0.766,3.271,475.6,3.73,Low
Mango,Semi-Ripe,6,20.09,75.31,1.527,3.833,551.7,5.47,Low
Tomato,Semi-Ripe,149,28.74,65.74,5.017,0.1,499.0,5.01,Low
Banana,Semi-Ripe,150,27.95,65.18,0.47,3.878,541.5,5.7,Low
Banana,Semi-Ripe,161,24.62,68.13,0.9,2.869,712.8,2.93,Low
Mango,Ripe,38,21.22,77.54,0.603,0.802,364.6,2.21,Low
Banana,Semi-Ripe,164,27.29,87.76,0.544,3.296,577.4,5.56,Low
Banana,Unripe,207,24.88,75.03,0.606,2.686,491.3,2.54,Medium
Brinjal,Semi-Ripe,145,27.93,77.64,1.78,2.919,440.1,4.61,Medium
Mango,Ripe,94,27.09,65.6,0.711,3.599,628.7,4.52,Medium
Brinjal,Ripe,116,33.41,59.51,4.828,2.973,324.6,3.82,Medium
Onion,Unripe,195,26.04,75.85,1.338,0.88,300.0,5.41,Medium
Brinjal,Ripe,34,22.91,70.05,0.493,2.343,526.9,3.01,Low
Brinjal,Unripe,174,27.72,50.93,0.774,0.721,483.4,3.47,Medium
Mango,Ripe,64,27.88,64.06,0.57,3.214,337.7,1.15,Low
Mango,Unripe,211,32.44,67.01,1.751,4.038,300.0,4.87,Low
Tomato,Unripe,33,30.34,61.87,0.318,1.134,731.7,5.24,Low
Banana,Unripe,124,28.43,85.78,0.391,1.761,555.6,5.83,Medium
Tomato,Semi-Ripe,96,32.85,73.76,0.661,1.529,502.4,3.03,Low
Brinjal,Unripe,117,22.24,84.48,1.613,2.001,763.4,3.25,Low
Onion,Semi-Ripe,92,24.44,71.16,2.371,2.954,622.6,2.81,Low
Onion,Ripe,9,23.29,68.98,2.628,2.013,712.3,1.82,Low
Tomato,Ripe,206,25.44,56.76,1.449,3.218,358.4,5.49,Low
Brinjal,Semi-Ripe,128,21.49,68.14,0.944,3.672,353.9,5.94,Medium
Banana,Semi-Ripe,144,29.54,68.16,1.744,3.712,574.0,8.3,Medium
Tomato,Ripe,125,26.11,51.59,0.449,1.27,549.7,2.51,Low
Brinjal,Unripe,127,21.12,61.53,0.275,4.025,650.0,5.2,Low
Onion,Ripe,146,22.94,64.12,1.358,4.113,304.3,5.23,Low
Banana,Ripe,101,28.25,72.96,0.495,4.208,584.4,3.12,Low
Onion,Ripe,31,30.35,73.54,0.955,2.326,618.7,1.03,Low
Tomato,Ripe,7,34.99,61.02,1.087,1.673,612.3,3.08,Low
Onion,Ripe,130,38.66,73.63,1.19,1.417,451.2,7.88,Medium
Brinjal,Semi-Ripe,44,28.66,65.82,1.928,1.288,562.2,3.51,Low
Brinjal,Ripe,109,23.04,33.56,1.79,2.513,406.9,2.39,Low
Banana,Semi-Ripe,145,18.47,62.18,1.146,3.433,464.8,3.96,Low
Tomato,Unripe,143,28.07,80.95,0.734,3.937,374.8,2.16,Medium
Banana,Unripe,40,23.75,47.82,1.078,1.966,409.0,3.01,Low
Onion,Unripe,159,25.34,69.35,0.659,2.457,471.1,5.64,Medium
Banana,Ripe,226,24.55,87.02,0.872,2.385,441.1,3.97,Medium
Tomato,Semi-Ripe,87,26.44,58.87,6.251,1.801,408.9,0.0,Low
Banana,Ripe,28,31.26,68.03,1.136,3.309,344.0,3.33,Low
Tomato,Unripe,121,27.63,52.35,1.37,2.899,735.3,3.05,Low
Banana,Ripe,148,26.37,87.53,0.61,2.656,439.9,2.92,Medium
Brinjal,Ripe,95,22.86,67.0,2.042,2.894,539.6,2.27,Low
Tomato,Unripe,144,20.3,68.56,1.703,3.177,300.0,4.95,Low
Banana,Semi-Ripe,184,25.05,84.25,1.711,3.166,662.9,3.97,Medium
Banana,Semi-Ripe,139,26.78,75.94,1.162,1.578,520.1,5.84,Low
Brinjal,Ripe,191,34.07,57.49,2.063,3.486,446.7,6.51,Medium
Tomato,Semi-Ripe,35,27.52,60.23,2.436,2.781,447.8,2.43,Low
Brinjal,Semi-Ripe,70,30.93,73.94,1.219,2.022,604.3,2.4,Low
Brinjal,Ripe,133,25.0,60.51,0.923,2.758,300.0,4.33,Low
Tomato,Ripe,62,22.26,42.59,1.87,2.879,401.1,2.98,Low
Tomato,Unripe,239,23.14,67.36,0.531,3.69,485.7,2.21,Low
Brinjal,Unripe,163,24.1,50.24,0.605,1.349,484.3,7.9,Medium
Onion,Ripe,99,35.51,87.4,0.963,3.957,800.6,4.97,Medium
Onion,Semi-Ripe,186,23.71,70.12,0.296,2.525,459.5,3.9,Medium
Brinjal,Semi-Ripe,236,30.35,57.14,1.785,1.943,618.8,1.88,Medium
Onion,Ripe,2,23.39,59.62,0.51,1.91,717.4,2.2,Low
Brinjal,Semi-Ripe,134,30.73,45.33,0.719,1.398,580.5,3.05,Low
Tomato,Semi-Ripe,103,28.54,54.81,0.861,0.585,419.1,3.63,Low
Banana,Ripe,181,26.37,80.2,1.028,3.245,345.9,0.78,Medium
Mango,Ripe,74,26.84,94.78,0.786,4.679,589.5,2.54,Low
Mango,Ripe,78,24.38,76.72,0.954,0.721,697.4,2.7,Low
Tomato,Semi-Ripe,184,28.78,66.9,0.959,1.455,565.5,4.36,Medium
Tomato,Ripe,214,25.18,62.82,0.731,3.327,648.0,4.64,Medium
Brinjal,Ripe,34,22.1,56.52,0.582,2.45,811.0,3.0,Low
Tomato,Ripe,148,21.89,92.72,2.132,3.418,600.5,7.01,Medium
Brinjal,Semi-Ripe,187,27.69,65.74,0.229,2.388,367.9,3.82,Medium
Mango,Ripe,39,33.32,93.39,0.866,1.861,506.1,1.33,Low
Banana,Ripe,159,27.64,84.72,0.72,2.252,664.4,1.3,Medium
Mango,Ripe,236,26.53,47.11,1.341,0.1,470.1,4.41,Low
Mango,Semi-Ripe,203,28.14,60.01,0.361,1.242,680.7,2.41,Medium
Banana,Semi-Ripe,46,32.22,59.97,0.705,3.543,492.0,4.78,Low
Brinjal,Semi-Ripe,238,27.88,67.04,0.931,3.811,540.1,5.18,Medium
Banana,Ripe,86,25.36,67.28,2.115,4.047,457.9,5.22,Low
Brinjal,Semi-Ripe,114,31.43,95.0,1.262,2.985,519.1,6.51,Medium
Onion,Ripe,70,28.72,55.07,0.437,0.1,525.5,1.78,Low
Banana,Semi-Ripe,168,33.14,70.75,0.711,1.801,307.0,3.89,Medium
Onion,Semi-Ripe,30,27.73,75.4,1.859,3.957,447.0,5.26,Low
Tomato,Ripe,171,22.1,67.98,0.431,4.285,352.0,4.89,Medium
Banana,Unripe,13,21.53,69.32,0.946,3.999,451.1,3.59,Low
Banana,Unripe,203,33.6,55.46,0.994,2.24,404.6,6.8,Medium
Tomato,Unripe,78,33.89,69.28,0.763,1.063,621.4,5.05,Medium
Onion,Ripe,124,26.28,74.14,6.6,2.455,622.8,4.73,Low
Brinjal,Ripe,54,25.47,71.93,0.749,2.516,567.2,5.66,Low
Banana,Semi-Ripe,25,32.85,74.84,1.37,4.222,347.9,2.68,Low
Brinjal,Unripe,5,22.57,84.95,0.585,2.751,488.2,3.49,Low
Brinjal,Unripe,236,23.42,79.24,1.447,2.518,338.3,5.01,Medium
Brinjal,Semi-Ripe,32,29.57,68.86,1.84,2.581,482.3,4.72,Low
Mango,Semi-Ripe,13,25.42,53.94,0.663,2.94,577.7,1.39,Low
Banana,Unripe,123,26.98,60.8,0.962,3.189,619.1,0.95,Low
Mango,Semi-Ripe,231,26.35,65.36,0.534,1.703,556.7,6.45,Medium
Onion,Unripe,19,28.35,71.03,0.449,1.337,651.0,0.89,Low
Tomato,Ripe,61,32.63,62.26,2.066,4.008,531.2,1.22,Low
Onion,Unripe,133,27.36,56.77,0.679,0.695,472.0,6.37,Low
Mango,Ripe,118,29.58,53.74,0.185,4.302,604.8,5.66,Low
Brinjal,Ripe,35,18.8,48.19,3.441,0.398,608.8,2.3,Low
Tomato,Semi-Ripe,229,26.81,65.18,0.57,1.857,437.1,0.0,Low
Onion,Ripe,86,23.63,50.36,0.842,3.569,545.5,4.49,Low
Banana,Ripe,163,22.12,55.99,3.154,2.5,464.7,5.65,Low
Onion,Unripe,110,23.49,63.27,0.906,1.052,300.0,4.75,Low
Mango,Semi-Ripe,141,25.66,51.97,0.892,2.969,552.8,5.04,Low
Onion,Semi-Ripe,217,30.66,72.56,0.423,2.574,344.7,4.78,Medium
Onion,Semi-Ripe,78,21.69,76.88,0.318,2.262,539.4,2.7,Low
Tomato,Ripe,196,27.12,61.41,0.89,1.814,315.8,2.86,Medium
Mango,Ripe,70,25.06,62.76,1.289,2.462,413.6,2.08,Low
Banana,Ripe,76,25.69,74.45,1.238,1.86,448.0,3.99,Low
Mango,Unripe,7,31.01,59.43,0.714,5.178,644.2,3.19,Low
Onion,Ripe,83,29.15,58.61,1.014,2.236,436.0,4.92,Low
Tomato,Ripe,141,32.35,82.36,0.276,2.089,371.0,1.66,Low
Mango,Ripe,154,26.38,78.61,1.38,1.904,543.7,1.36,Low
Mango,Semi-Ripe,103,24.22,75.22,1.12,4.455,474.0,3.05,Low
Banana,Ripe,85,26.1,79.11,3.981,0.697,594.9,1.68,Low
Brinjal,Unripe,54,27.97,44.27,1.005,2.895,378.6,3.48,Low
Tomato,Unripe,217,27.71,84.25,0.517,2.237,525.3,2.75,Medium
Brinjal,Semi-Ripe,92,22.66,72.7,0.965,0.934,796.3,5.73,Low
Banana,Ripe,73,27.36,80.13,0.795,1.599,471.3,1.9,Low
Brinjal,Unripe,226,27.91,72.65,1.356,2.849,522.4,8.08,Medium
Tomato,Unripe,153,37.07,68.59,1.019,1.549,300.7,5.28,Low
Onion,Unripe,204,34.51,64.7,0.414,2.786,397.6,3.05,Medium
Banana,Unripe,93,23.59,72.41,0.318,4.402,555.2,7.39,Low
Mango,Unripe,103,25.85,64.26,1.202,2.688,460.4,4.21,Low
Brinjal,Ripe,175,21.15,78.41,2.633,0.901,573.7,4.9,Medium
Banana,Ripe,236,24.64,48.96,1.057,1.569,551.0,5.21,Medium
Mango,Semi-Ripe,190,28.26,61.5,1.767,2.186,341.8,5.62,Medium
Tomato,Unripe,111,31.82,92.54,2.032,2.113,621.8,4.78,Medium
Banana,Ripe,144,24.08,60.49,1.205,2.667,350.9,2.67,Low
Mango,Semi-Ripe,84,24.38,65.14,0.565,2.844,408.2,3.12,Low
Brinjal,Ripe,109,18.41,57.41,1.147,4.404,527.5,4.02,Low
Mango,Semi-Ripe,93,26.35,72.03,2.328,2.496,688.0,4.66,Low
Tomato,Unripe,23,22.75,59.16,1.449,1.233,379.5,3.86,Low
Brinjal,Ripe,210,24.88,65.77,1.688,3.769,517.7,5.32,Medium
Onion,Ripe,32,23.49,78.19,0.723,3.889,518.7,1.89,Low
Onion,Ripe,64,26.62,59.61,0.868,2.756,578.9,2.19,Low
Banana,Semi-Ripe,61,19.97,77.46,0.92,2.229,642.1,1.09,Low
Mango,Ripe,53,21.13,77.87,0.965,3.185,451.5,4.2,Medium
Mango,Unripe,119,35.52,80.66,2.265,2.268,621.4,2.82,Medium
Mango,Semi-Ripe,231,21.85,69.69,0.193,0.239,659.6,4.93,Medium
Tomato,Unripe,79,22.61,95.0,1.022,3.12,714.1,3.88,Low
Onion,Semi-Ripe,176,34.35,80.65,0.946,3.481,560.2,4.62,Medium
Mango,Unripe,176,38.62,71.9,0.383,4.085,518.9,4.6,Low
Brinjal,Ripe,184,22.31,57.49,1.6,1.696,443.0,3.08,Low
Mango,Unripe,150,25.53,66.84,0.602,2.749,324.9,4.78,Low
Brinjal,Unripe,178,28.37,85.12,0.779,2.773,466.6,4.07,Low
Onion,Unripe,183,33.91,88.51,3.648,2.594,513.5,4.54,Medium
Banana,Unripe,164,23.05,85.74,2.028,2.626,486.9,6.55,Medium
Onion,Ripe,134,26.02,77.42,1.495,2.541,571.7,5.02,Low
Mango,Ripe,21,30.11,52.93,1.305,2.733,325.5,1.72,Low
Mango,Unripe,122,28.74,73.85,0.891,3.315,478.2,3.7,Low
Brinjal,Unripe,181,25.5,53.1,4.053,3.842,739.4,7.55,Medium
Tomato,Ripe,82,26.46,50.15,1.753,1.668,619.5,2.93,Low
Tomato,Semi-Ripe,59,21.5,70.87,0.592,2.31,573.9,3.28,Low
Mango,Unripe,143,26.05,74.28,0.375,2.035,546.9,5.41,Low
Banana,Unripe,31,25.93,78.84,1.487,1.878,456.1,3.26,Low
Banana,Ripe,173,27.93,73.97,0.962,0.722,300.0,3.9,Medium
Tomato,Unripe,236,24.78,74.38,0.368,2.527,554.9,3.99,Medium
Banana,Semi-Ripe,116,28.89,56.18,1.35,3.027,300.0,3.87,Low
Brinjal,Ripe,6,31.05,66.74,0.828,2.329,460.9,3.76,Low
Mango,Semi-Ripe,65,27.62,49.91,1.45,2.49,499.6,5.66,Low
Banana,Unripe,7,28.41,43.96,1.362,2.96,446.3,0.0,Low
Mango,Ripe,110,27.21,76.89,0.653,4.052,760.6,6.99,Medium
Tomato,Semi-Ripe,74,27.0,58.96,1.557,2.038,718.9,2.87,Low
Brinjal,Semi-Ripe,186,24.11,78.47,0.706,1.211,623.9,6.4,Medium
Banana,Unripe,203,28.27,81.3,0.739,2.401,389.0,3.61,Medium
Onion,Ripe,104,26.61,60.57,0.689,4.572,730.6,0.85,Low
Tomato,Semi-Ripe,235,35.37,75.08,2.207,1.223,574.3,2.96,Medium
Tomato,Semi-Ripe,108,33.29,60.07,0.822,3.215,387.0,3.2,Low
Brinjal,Ripe,28,28.54,45.85,2.614,3.774,503.9,3.78,Low
Onion,Semi-Ripe,218,23.95,69.48,3.485,0.1,615.0,5.17,Medium
Onion,Semi-Ripe,95,22.55,62.35,0.596,2.951,428.1,3.19,Low
Onion,Unripe,213,31.76,62.72,0.129,3.164,516.9,7.07,Medium
Mango,Semi-Ripe,176,28.05,91.7,2.077,2.206,538.0,4.62,Medium
Brinjal,Semi-Ripe,226,28.92,49.69,0.787,1.789,367.9,5.72,Medium
Tomato,Semi-Ripe,155,20.02,72.59,0.545,1.85,467.6,9.96,Medium
Banana,Semi-Ripe,142,30.71,56.06,0.662,2.139,376.9,4.19,Low
Onion,Unripe,56,28.82,78.9,0.748,2.168,604.2,1.92,Low
Brinjal,Ripe,67,22.56,71.58,2.479,1.96,391.0,4.17,Low
Onion,Semi-Ripe,79,25.11,72.55,1.118,2.121,535.0,4.77,Low
Onion,Ripe,74,28.05,56.66,2.456,3.81,333.2,3.93,Low
Brinjal,Ripe,143,27.21,58.81,1.413,1.164,364.0,4.5,Low
Brinjal,Semi-Ripe,209,25.83,79.13,0.805,0.576,358.2,7.68,Medium
Mango,Ripe,8,26.59,89.25,0.761,3.827,465.3,5.04,Low
Banana,Semi-Ripe,149,25.99,73.76,1.482,2.289,521.6,4.08,Medium
Tomato,Unripe,182,27.61,57.23,1.776,2.073,543.8,3.53,Low
Banana,Ripe,106,32.89,72.07,2.009,2.378,300.0,4.54,Low
Onion,Ripe,66,16.73,95.0,0.833,2.73,479.8,2.12,Low
Tomato,Semi-Ripe,104,26.05,69.23,1.13,1.924,409.9,5.34,Low
Banana,Ripe,199,27.71,85.54,1.505,3.057,564.1,5.65,Medium
Onion,Ripe,220,28.18,59.12,0.764,1.442,467.9,9.95,Medium
Mango,Ripe,164,25.51,67.49,0.452,2.168,490.3,7.12,Medium
Banana,Unripe,117,19.97,75.43,0.569,0.1,410.6,1.96,Low
Brinjal,Ripe,155,28.31,72.77,0.845,3.789,707.0,3.43,Medium
Brinjal,Unripe,163,33.91,58.8,1.59,2.306,346.0,1.01,Medium
Brinjal,Ripe,184,20.86,58.29,2.414,3.237,452.0,0.86,Medium
Tomato,Ripe,34,30.46,79.86,0.387,3.024,512.9,3.11,Low
Tomato,Unripe,18,25.69,82.3,0.658,3.105,469.8,0.57,Low
Brinjal,Semi-Ripe,83,26.75,86.15,0.778,2.491,408.3,6.45,Low
Onion,Semi-Ripe,62,22.79,89.65,1.744,2.927,300.0,5.33,Low
Mango,Unripe,148,25.66,69.62,0.691,1.443,417.0,3.79,Low
Banana,Ripe,125,32.2,64.27,0.74,1.212,384.9,3.41,Low
Tomato,Semi-Ripe,221,29.33,84.21,0.372,2.389,701.5,7.83,High
Tomato,Semi-Ripe,187,33.93,76.56,1.403,1.752,771.8,7.83,High
Banana,Unripe,35,31.71,56.21,0.893,4.068,493.9,1.24,Low
Tomato,Ripe,204,28.76,55.6,0.633,2.913,331.4,3.04,Low
Banana,Unripe,185,33.98,73.9,0.834,1.712,588.6,4.18,Medium
Banana,Semi-Ripe,92,28.76,65.87,2.201,2.201,382.3,4.38,Low
Tomato,Ripe,13,30.31,67.68,0.495,2.646,434.1,1.73,Low
Banana,Unripe,191,25.81,80.87,0.555,2.425,424.5,5.61,Medium
Banana,Ripe,46,27.27,77.11,2.403,2.799,439.9,6.56,Low
Tomato,Ripe,53,24.21,83.96,1.054,2.576,457.4,0.61,Low
Mango,Ripe,113,30.96,44.82,1.598,0.97,342.4,3.05,Low
Banana,Semi-Ripe,19,22.29,71.04,1.325,0.134,415.8,0.23,Low
Onion,Unripe,96,30.13,76.34,0.976,2.089,622.4,2.15,Low
Banana,Semi-Ripe,59,26.24,49.68,0.784,3.117,496.0,2.68,Low
Brinjal,Semi-Ripe,12,31.68,60.14,1.79,2.101,515.0,1.34,Low
Banana,Unripe,217,30.0,57.91,2.256,3.86,300.0,6.04,Medium
Onion,Semi-Ripe,62,34.28,68.26,2.136,2.448,613.7,3.52,Low
Onion,Ripe,131,29.92,87.53,0.436,3.993,417.7,4.61,Low
Banana,Unripe,196,20.71,92.27,2.493,3.767,634.9,4.3,Medium
Mango,Unripe,116,26.73,58.23,0.778,3.656,518.5,3.51,Low
Banana,Semi-Ripe,70,22.31,74.32,0.589,1.176,432.6,2.71,Low
Onion,Ripe,179,24.93,74.71,0.888,2.519,300.0,4.2,Low
Banana,Semi-Ripe,166,33.04,72.65,1.789,3.845,761.0,5.25,Medium
Mango,Unripe,2,29.55,72.79,1.46,2.8,596.4,0.0,Low
Brinjal,Unripe,197,24.2,71.64,0.836,3.11,603.6,5.38,High
Tomato,Ripe,28,22.95,88.25,1.797,0.973,718.3,1.27,Low
Mango,Semi-Ripe,177,27.13,81.23,1.103,4.611,526.9,4.01,Medium
Tomato,Semi-Ripe,24,22.13,55.28,0.67,1.629,662.3,0.0,Low
Onion,Semi-Ripe,15,24.32,77.55,0.609,0.306,442.6,2.03,Low
Onion,Ripe,29,28.25,78.71,1.333,2.114,588.5,3.35,Low
Onion,Ripe,178,31.62,71.78,0.944,0.1,424.4,5.46,Medium
Tomato,Semi-Ripe,109,29.44,81.58,0.382,1.306,439.5,1.67,Low
Onion,Unripe,144,17.83,70.26,1.809,5.314,511.6,4.96,Medium
Mango,Unripe,67,28.22,70.41,0.714,2.082,347.9,5.36,Low
Onion,Unripe,28,27.29,69.45,3.048,0.929,539.5,1.95,Low
